index,pivot_line_dev_mm,z_through_o_err_mm
814,0.0000,0.0005
815,0.0000,0.0005
816,0.0000,0.0006
817,0.0000,0.0008
818,0.0000,0.0005
819,0.0000,0.0006
820,0.0000,0.0006
821,0.0000,0.0008
822,0.0000,0.0003
823,0.0000,0.0006
824,0.0000,0.0003
825,0.0000,0.0010
826,0.0000,0.0005
827,0.0000,0.0006
828,0.0000,0.0006
829,0.0000,0.0004
830,0.0000,0.0010
831,0.0000,0.0003
832,0.0000,0.0006
833,0.0000,0.0005
834,0.0000,0.0009
835,0.0000,0.0005
836,0.0000,0.0002
837,0.0000,0.0003
838,0.0000,0.0006
839,0.0000,0.0009
840,0.0000,0.0005
841,0.0000,0.0003
842,0.0000,0.0006
843,0.0000,0.0009
844,0.0000,0.0006
845,0.0000,0.0006
846,0.0000,0.0003
847,0.0000,0.0005
848,0.0000,0.0010
849,0.0000,0.0002
850,0.0000,0.0006
851,0.0000,0.0004
852,0.0000,0.0009
853,0.0000,0.0004
854,0.0000,0.0004
855,0.0000,0.0005
856,0.0000,0.0008
857,0.0000,0.0003
858,0.0000,0.0004
859,0.0000,0.0004
860,0.0000,0.0002
861,0.0000,0.0011
862,0.0000,0.0004
863,0.0000,0.0004
864,0.0000,0.0005
865,0.0000,0.0008
866,0.0000,0.0004
867,0.0000,0.0004
868,0.0000,0.0008
869,0.0000,0.0004
870,0.0000,0.0008
871,0.0000,0.0003
872,0.0000,0.0005
873,0.0000,0.0004
874,0.0000,0.0008
875,0.0000,0.0007
876,0.0000,0.0002
877,0.0000,0.0004
878,0.0000,0.0004
879,0.0000,0.0008
880,0.0000,0.0003
881,0.0000,0.0005
882,0.0000,0.0004
883,0.0000,0.0009
884,0.0000,0.0005
885,0.0000,0.0004
886,0.0000,0.0006
887,0.0000,0.0008
888,0.0000,0.0006
889,0.0000,0.0005
890,0.0000,0.0003
891,0.0000,0.0006
892,0.0000,0.0009
893,0.0000,0.0004
894,0.0000,0.0006
895,0.0000,0.0003
896,0.0000,0.0009
897,0.0000,0.0005
898,0.0000,0.0006
899,0.0000,0.0003
900,0.0000,0.0002
901,0.0000,0.0009
902,0.0000,0.0005
903,0.0000,0.0005
904,0.0000,0.0006
905,0.0000,0.0008
906,0.0000,0.0006
907,0.0000,0.0004
908,0.0000,0.0006
909,0.0000,0.0006
910,0.0000,0.0009
911,0.0000,0.0006
912,0.0000,0.0003
913,0.0000,0.0006
914,0.0000,0.0008
915,0.0000,0.0003
916,0.0000,0.0006
917,0.0000,0.0006
918,0.0000,0.0009
919,0.0000,0.0004
920,0.0000,0.0006
921,0.0000,0.0005
922,0.0000,0.0005
923,0.0000,0.0009
924,0.0000,0.0004
925,0.0000,0.0003
926,0.0000,0.0006
927,0.0000,0.0008
928,0.0000,0.0006
929,0.0000,0.0003
930,0.0000,0.0006
931,0.0000,0.0006
932,0.0000,0.0010
933,0.0000,0.0005
934,0.0000,0.0006
935,0.0000,0.0006
936,0.0000,0.0009
937,0.0000,0.0006
938,0.0000,0.0006
939,0.0000,0.0005
940,0.0000,0.0006
941,0.0000,0.0008
942,0.0000,0.0007
943,0.0000,0.0005
944,0.0000,0.0004
945,0.0000,0.0009
946,0.0000,0.0003
947,0.0000,0.0004
948,0.0000,0.0005
949,0.0000,0.0008
950,0.0000,0.0005
951,0.0000,0.0006
952,0.0000,0.0005
953,0.0000,0.0005
954,0.0000,0.0009
955,0.0000,0.0006
956,0.0000,0.0005
957,0.0000,0.0006
958,0.0000,0.0009
959,0.0000,0.0003
960,0.0000,0.0005
961,0.0000,0.0005
962,0.0000,0.0004
963,0.0000,0.0008
964,0.0000,0.0005
965,0.0000,0.0005
966,0.0000,0.0006
967,0.0000,0.0009
968,0.0000,0.0004
969,0.0000,0.0005
970,0.0000,0.0003
971,0.0000,0.0005
972,0.0000,0.0009
973,0.0000,0.0006
974,0.0000,0.0005
